arabic
بِسْمِ ٱللَّهِ
يَٰٓأَيُّهَا ٱلَّذِينَ
إِنَّ ٱلَّذِينَ
فَبِأَىِّ ءَالَآءِ
أَلَمْ تَرَ
إِنَّ ٱللَّهَ
قَالَ رَبِّ
وَمَا كَانَ
وَهُوَ ٱلَّذِى
وَقَالَ ٱلَّذِينَ
أُو۟لَٰٓئِكَ ٱلَّذِينَ
هُوَ ٱلَّذِى
إِذْ قَالَ
إِنَّ فِى
وَإِذْ قَالَ
وَإِذَا قِيلَ
وَلَقَدْ ءَاتَيْنَا
وَٱلَّذِينَ ءَامَنُوا۟
وَلَقَدْ أَرْسَلْنَا
يَٰٓأَيُّهَا ٱلنَّاسُ
إِلَّا ٱلَّذِينَ
حَتَّىٰٓ إِذَا
وَمَآ أَدْرَىٰكَ
ٱللَّهُ ٱلَّذِى
أَوَلَمْ يَرَوْا۟
وَإِنَّ رَبَّكَ
وَيْلٌ يَوْمَئِذٍ
وَمِنَ ٱلنَّاسِ
وَٱلَّذِينَ كَفَرُوا۟
إِنَّ هَٰذَا
وَمَآ أَرْسَلْنَا
يَٰٓأَيُّهَا ٱلنَّبِىُّ
أَمْ يَقُولُونَ
قُلْ مَن
قُلْ أَرَءَيْتُمْ
فَٱتَّقُوا۟ ٱللَّهَ
وَمَنْ أَظْلَمُ
ذَٰلِكَ بِأَنَّ
وَمِنْهُم مَّن
مَا كَانَ
إِنَّ رَبَّكَ
قَالَ يَٰقَوْمِ
وَإِذَا تُتْلَىٰ
وَٱلَّذِينَ هُمْ
#
هُوَ ٱلَّذِىٓ
ذَٰلِكَ بِأَنَّهُمْ
وَأَمَّا ٱلَّذِينَ
ٱلَّذِينَ ءَامَنُوا۟
قُلْ إِنَّ
وَيَقُولُونَ مَتَىٰ
وَإِذْ قُلْنَا
قُلْ إِن
مَن كَانَ
خَٰلِدِينَ فِيهَا
تِلْكَ ءَايَٰتُ
ٱللَّهُ لَآ
فَأَمَّا ٱلَّذِينَ
قُلْ يَٰٓأَهْلَ
يَٰٓأَهْلَ ٱلْكِتَٰبِ
وَلِلَّهِ مَا
أَمْ لَهُمْ
قُل لَّوْ
وَهُوَ ٱلَّذِىٓ
فَلَمَّا جَآءَ
إِلَّا مَن
إِنَّ ٱلْمُتَّقِينَ
ثُمَّ إِنَّ
قُلْ إِنَّمَآ
ٱلَّذِينَ هُمْ
إِنْ هُوَ
وَلَئِن سَأَلْتَهُم
ٱلَّذِى جَعَلَ
فَإِن لَّمْ
وَإِذْ أَخَذْنَا
يَسْـَٔلُونَكَ عَنِ
هَلْ يَنظُرُونَ
وَإِن كَانَ
فَإِن تَوَلَّوْا۟
وَلَا تَكُونُوا۟
وَكَأَيِّن مِّن
ٱنظُرْ كَيْفَ
وَيَقُولُ ٱلَّذِينَ
قُلْ هَلْ
وَلَوْ أَنَّ
وَلَوْ تَرَىٰٓ
وَٱلَّذِينَ كَذَّبُوا۟
قُلْ إِنِّى
قُلْ هُوَ
وَلَوْ شَآءَ
قَالَ ٱلْمَلَأُ
قُلْ يَٰٓأَيُّهَا
قَالَ لَا
إِنَّا نَحْنُ
وَلَقَدْ خَلَقْنَا
وَكَمْ أَهْلَكْنَا
وَأَمَّا مَنْ
وَٱذْكُرْ فِى
يَعْلَمُ مَا
يَوْمَ لَا
إِنِّى لَكُمْ
وَمَآ أَسْـَٔلُكُمْ
وَمِنْ ءَايَٰتِهِۦٓ
إِنَّا كَذَٰلِكَ
فَلَآ أُقْسِمُ
وَمَا هُوَ
يَٰبَنِىٓ إِسْرَٰٓءِيلَ
وَلَوْ أَنَّهُمْ
وَقَالَتِ ٱلْيَهُودُ
ٱلَّذِينَ ءَاتَيْنَٰهُمُ
وَأَطِيعُوا۟ ٱللَّهَ
وَلِلَّهِ مُلْكُ
وَمَا لَكُمْ
وَمَن يَعْمَلْ
وَلَوْلَا فَضْلُ
أُو۟لَٰٓئِكَ هُمُ
وَعَدَ ٱللَّهُ
قَالُوا۟ يَٰمُوسَىٰٓ
وَٱتْلُ عَلَيْهِمْ
أَلَمْ يَرَوْا۟
قُلْ سِيرُوا۟
قُل لَّآ
وَوَهَبْنَا لَهُۥٓ
وَأَقْسَمُوا۟ بِٱللَّهِ
وَيَوْمَ يَحْشُرُهُمْ
يَٰبَنِىٓ ءَادَمَ
قَالُوٓا۟ أَجِئْتَنَا
قَالَ ٱلَّذِينَ
وَقَالَ مُوسَىٰ
إِنَّ هَٰٓؤُلَآءِ
وَلَمَّا جَآءَ
إِنَّمَا ٱلْمُؤْمِنُونَ
وَيَعْبُدُونَ مِن
أَلَآ إِنَّ
وَقَالَ فِرْعَوْنُ
لَا جَرَمَ
قَالَ هَلْ
قَالُوا۟ تَٱللَّهِ
جَنَّٰتُ عَدْنٍ
قَالَ فَمَا
وَمَا خَلَقْنَا
خَلَقَ ٱلسَّمَٰوَٰتِ
خَلَقَ ٱلْإِنسَٰنَ
وَٱللَّهُ جَعَلَ
وَلَوْلَآ أَن
وَمِنَ ٱلَّيْلِ
وَقُل رَّبِّ
وَٱلَّذِينَ هُم
ٱلَّذِى خَلَقَ
كَذَّبَتْ ثَمُودُ
وَمَا كُنتَ
وَمِنْ ءَايَٰتِهِۦ
تَنزِيلُ ٱلْكِتَٰبِ
وَمَا يَسْتَوِى
وَلَوْ نَشَآءُ
مَا لَكُمْ
إِلَّا عِبَادَ
كَذَّبَتْ قَبْلَهُمْ
وَأَنَّهُۥ هُوَ
وَلَقَدْ يَسَّرْنَا
وُجُوهٌ يَوْمَئِذٍ
وَٱلَّيْلِ إِذَا
أَلَآ إِنَّهُمْ
قَالُوا۟ سُبْحَٰنَكَ
وَأَقِيمُوا۟ ٱلصَّلَوٰةَ
وَٱتَّقُوا۟ يَوْمًا
قَالُوا۟ ٱدْعُ
وَقَالُوا۟ لَن
أَلَمْ تَعْلَمْ
وَقَالُوا۟ ٱتَّخَذَ
إِنَّآ أَرْسَلْنَٰكَ
أُو۟لَٰٓئِكَ لَهُمْ
أَمْ حَسِبْتُمْ
وَيَسْـَٔلُونَكَ عَنِ
ٱلَّذِينَ يُنفِقُونَ
إِن تُبْدُوا۟
رَبَّنَآ إِنَّكَ
كَدَأْبِ ءَالِ
قُل لِّلَّذِينَ
فَكَيْفَ إِذَا
ذَٰلِكَ مِنْ
هَٰٓأَنتُمْ هَٰٓؤُلَآءِ
وَإِذْ أَخَذَ
وَلَا يَحْسَبَنَّ
مَّا كَانَ
ذَٰلِكَ بِمَا
كُلُّ نَفْسٍ
إِن يَشَأْ
قُل لَّا
وَلَقَدِ ٱسْتُهْزِئَ
قُلْ إِنِّىٓ
وَقَالُوا۟ لَوْلَا
قُلِ ٱللَّهُ
فَلَمَّا رَءَا
وَجَعَلُوا۟ لِلَّهِ
وَكَذَٰلِكَ جَعَلْنَا
فَكُلُوا۟ مِمَّا
وَقَالُوا۟ مَا
وَلَا تَقْرَبُوا۟
مَن جَآءَ
فَمَا كَانَ
قَالَ مَا
قُلْ إِنَّمَا
وَلِكُلِّ أُمَّةٍ
فَمَنْ أَظْلَمُ
وَنَادَىٰٓ أَصْحَٰبُ
قَالَ قَدْ
وَلُوطًا إِذْ
وَأَمْطَرْنَا عَلَيْهِم
وَإِلَىٰ مَدْيَنَ
وَقَالَ ٱلْمَلَأُ
ثُمَّ بَعَثْنَا
وَأَوْحَيْنَآ إِلَىٰ
قَالُوٓا۟ إِنَّآ
فَٱنتَقَمْنَا مِنْهُمْ
وَلَوْ شِئْنَا
ٱلَّذِينَ يُقِيمُونَ
لَوْ كَانَ
